key,value
"Relationship Unknown",57431
"Acquaintance",44163
"Stranger",43618
"Boyfriend/Girlfriend",34724
"Otherwise Known",27008
"Spouse",12002
"Child",8820
"Friend",7291
"Offender",7191
"Other Family Member",6276
"Parent",6164
"Sibling",6104
"Neighbor",5063
"Ex-Spouse",1711
"Homosexual Relationship",1386
"Child of Boyfriend or Girlfriend",1314
"In-law",1159
"Stepchild",1119
"Common-Law Spouse",1102
"Stepparent",937
"Grandparent",607
"Grandchild",451
"Employee",362
"Babysittee",257
"Employer",206
"Stepsibling",184
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",11
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
