key,value
"Personal Weapons",50424
"Knife/Cutting Instrument",36358
"Handgun",28561
"Blunt Object",25297
"Other",17739
"Firearm",13023
"Motor Vehicle/Vessel",12140
"None",4204
"Unknown",3932
"Asphyxiation",3592
"Shotgun",1927
"Handgun (Automatic)",1885
"Rifle",1617
"Other Firearm",1608
"Fire/Incendiary Device",552
"Firearm (Automatic)",460
"Drugs/Narcotics/Sleeping Pills",377
"Poison",207
"Rifle (Automatic)",139
"Explosives",76
"Other Firearm (Automatic)",56
"Shotgun (Automatic)",28
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
