key,value
"Relationship Unknown",46921
"Acquaintance",41050
"Stranger",38935
"Boyfriend/Girlfriend",29474
"Otherwise Known",24256
"Spouse",10634
"Child",8076
"Offender",6907
"Friend",6897
"Other Family Member",5937
"Sibling",5589
"Parent",5492
"Neighbor",4849
"Ex-Spouse",1348
"Common-Law Spouse",1219
"In-law",1138
"Homosexual Relationship",1127
"Child of Boyfriend or Girlfriend",1120
"Stepchild",1110
"Stepparent",851
"Grandparent",504
"Grandchild",427
"Employee",401
"Employer",186
"Babysittee",164
"Stepsibling",161
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",2
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
