key,value
"Personal Weapons",45945
"Knife/Cutting Instrument",34104
"Blunt Object",23191
"Handgun",21434
"Other",17354
"Motor Vehicle/Vessel",10204
"Firearm",8363
"Unknown",4033
"None",3745
"Asphyxiation",2227
"Shotgun",1889
"Handgun (Automatic)",1782
"Other Firearm",1419
"Rifle",1378
"Fire/Incendiary Device",477
"Firearm (Automatic)",441
"Drugs/Narcotics/Sleeping Pills",307
"Poison",186
"Rifle (Automatic)",123
"Explosives",68
"Shotgun (Automatic)",44
"Other Firearm (Automatic)",35
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
