key,value
"Personal Weapons",44538
"Knife/Cutting Instrument",35065
"Blunt Object",26061
"Handgun",20442
"Other",17855
"Motor Vehicle/Vessel",10769
"Firearm",8431
"None",4282
"Unknown",3950
"Shotgun",2101
"Handgun (Automatic)",2096
"Asphyxiation",1884
"Rifle",1437
"Other Firearm",1380
"Fire/Incendiary Device",511
"Firearm (Automatic)",471
"Drugs/Narcotics/Sleeping Pills",299
"Poison",173
"Rifle (Automatic)",154
"Explosives",78
"Shotgun (Automatic)",76
"Other Firearm (Automatic)",64
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
