key,value
"Relationship Unknown",50064
"Acquaintance",45632
"Stranger",39967
"Boyfriend/Girlfriend",27760
"Otherwise Known",24789
"Spouse",10803
"Child",7664
"Offender",7653
"Friend",7146
"Sibling",5841
"Other Family Member",5615
"Parent",5424
"Neighbor",5003
"Common-Law Spouse",1539
"Ex-Spouse",1336
"In-law",1105
"Stepchild",1029
"Child of Boyfriend or Girlfriend",1009
"Homosexual Relationship",980
"Stepparent",865
"Grandparent",473
"Grandchild",375
"Employee",258
"Babysittee",210
"Employer",175
"Stepsibling",155
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",4
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
