key,value
"Personal Weapons",58546
"Knife/Cutting Instrument",42428
"Handgun",35228
"Blunt Object",28858
"Other",21321
"Firearm",17448
"Motor Vehicle/Vessel",14170
"None",5149
"Unknown",5044
"Asphyxiation",4955
"Rifle",2117
"Shotgun",1900
"Handgun (Automatic)",1698
"Other Firearm",1575
"Fire/Incendiary Device",557
"Firearm (Automatic)",492
"Drugs/Narcotics/Sleeping Pills",389
"Poison",313
"Explosives",115
"Rifle (Automatic)",105
"Other Firearm (Automatic)",32
"Shotgun (Automatic)",29
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
