key,value
"Relationship Unknown",72730
"Stranger",51337
"Acquaintance",46221
"Boyfriend/Girlfriend",42934
"Otherwise Known",31762
"Spouse",13860
"Child",10224
"Other Family Member",8719
"Offender",8474
"Friend",7625
"Parent",7317
"Sibling",7081
"Neighbor",5711
"Ex-Spouse",2341
"Common-Law Spouse",1608
"In-law",1424
"Stepchild",1351
"Homosexual Relationship",1318
"Child of Boyfriend or Girlfriend",1300
"Stepparent",1138
"Grandparent",782
"Grandchild",566
"Employee",476
"Babysittee",365
"Employer",299
"Stepsibling",234
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",72
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
