key,value
"Relationship Unknown",186638
"Stranger",123214
"Boyfriend/Girlfriend",91286
"Acquaintance",90199
"Otherwise Known",64801
"Spouse",29539
"Child",22882
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",21470
"Offender",18112
"Other Family Member",17439
"Parent",17127
"Neighbor",15982
"Sibling",15536
"Friend",15347
"Ex-Spouse",5203
"Common-Law Spouse",3732
"In-law",3108
"Stepchild",2831
"Child of Boyfriend or Girlfriend",2542
"Stepparent",2449
"Grandparent",1791
"Employee",1226
"Grandchild",1132
"Employer",654
"Babysittee",449
"Stepsibling",440
"Cohabitant (non-intimate relationship)",2
"Foster Child",0
"Foster Parent",0
"Homosexual Relationship",0
