key,value
"Personal Weapons",120623
"Handgun",108473
"Knife/Cutting Instrument",91813
"Firearm",60753
"Blunt Object",56338
"Other",55697
"Motor Vehicle/Vessel",28424
"Asphyxiation",17662
"None",16883
"Unknown",12796
"Rifle",7495
"Other Firearm",5503
"Shotgun",3647
"Handgun (Automatic)",3571
"Firearm (Automatic)",1874
"Fire/Incendiary Device",1199
"Drugs/Narcotics/Sleeping Pills",925
"Poison",577
"Rifle (Automatic)",494
"Explosives",247
"Other Firearm (Automatic)",147
"Shotgun (Automatic)",53
"Club/Blackjack/Brass Knuckles",1
"Lethal Cutting Instrument",1
"Drowning",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
