key,value
"Personal Weapons",52691
"Knife/Cutting Instrument",37206
"Handgun",31838
"Blunt Object",26088
"Other",18498
"Firearm",13895
"Motor Vehicle/Vessel",12777
"Unknown",4676
"None",4666
"Asphyxiation",3923
"Shotgun",1939
"Rifle",1938
"Handgun (Automatic)",1679
"Other Firearm",1632
"Fire/Incendiary Device",532
"Firearm (Automatic)",426
"Drugs/Narcotics/Sleeping Pills",404
"Poison",284
"Rifle (Automatic)",120
"Explosives",78
"Other Firearm (Automatic)",33
"Shotgun (Automatic)",26
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
