key,value
"Personal Weapons",47796
"Knife/Cutting Instrument",34729
"Handgun",24670
"Blunt Object",23513
"Other",18149
"Motor Vehicle/Vessel",11107
"Firearm",10078
"None",4342
"Unknown",3919
"Asphyxiation",2938
"Shotgun",1897
"Handgun (Automatic)",1782
"Rifle",1463
"Other Firearm",1405
"Fire/Incendiary Device",527
"Firearm (Automatic)",455
"Drugs/Narcotics/Sleeping Pills",314
"Poison",179
"Rifle (Automatic)",129
"Explosives",90
"Other Firearm (Automatic)",39
"Shotgun (Automatic)",35
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
