key,value
"Relationship Unknown",51725
"Acquaintance",41491
"Stranger",40781
"Boyfriend/Girlfriend",31834
"Otherwise Known",25352
"Spouse",11563
"Child",7927
"Friend",6999
"Offender",6734
"Other Family Member",5846
"Sibling",5801
"Parent",5778
"Neighbor",4910
"Ex-Spouse",1523
"Homosexual Relationship",1266
"Child of Boyfriend or Girlfriend",1156
"Common-Law Spouse",1142
"In-law",1116
"Stepchild",1102
"Stepparent",869
"Grandparent",525
"Grandchild",404
"Employee",329
"Employer",207
"Babysittee",181
"Stepsibling",170
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",4
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
