key,value
"Personal Weapons",43230
"Knife/Cutting Instrument",33634
"Blunt Object",24349
"Handgun",20203
"Other",16576
"Motor Vehicle/Vessel",10169
"Firearm",7940
"None",4090
"Unknown",3896
"Shotgun",2052
"Asphyxiation",1948
"Handgun (Automatic)",1678
"Other Firearm",1302
"Rifle",1265
"Fire/Incendiary Device",454
"Firearm (Automatic)",392
"Drugs/Narcotics/Sleeping Pills",273
"Poison",150
"Rifle (Automatic)",135
"Explosives",82
"Other Firearm (Automatic)",53
"Shotgun (Automatic)",43
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
