key,value
"Relationship Unknown",46601
"Acquaintance",41328
"Stranger",37699
"Boyfriend/Girlfriend",27970
"Otherwise Known",24388
"Spouse",10532
"Child",7531
"Offender",6939
"Friend",6828
"Other Family Member",5690
"Sibling",5552
"Parent",5238
"Neighbor",4816
"Ex-Spouse",1310
"Common-Law Spouse",1285
"In-law",1168
"Stepchild",1097
"Homosexual Relationship",1086
"Child of Boyfriend or Girlfriend",1029
"Stepparent",873
"Grandparent",487
"Grandchild",410
"Employee",325
"Stepsibling",195
"Babysittee",186
"Employer",166
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",1
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
