key,value
"Personal Weapons",104918
"Handgun",104193
"Knife/Cutting Instrument",85727
"Firearm",57614
"Blunt Object",53172
"Other",47837
"Motor Vehicle/Vessel",29397
"Asphyxiation",15747
"None",14536
"Unknown",11923
"Rifle",6870
"Other Firearm",4570
"Shotgun",3818
"Handgun (Automatic)",3759
"Firearm (Automatic)",1875
"Fire/Incendiary Device",1219
"Drugs/Narcotics/Sleeping Pills",750
"Poison",693
"Rifle (Automatic)",459
"Explosives",239
"Other Firearm (Automatic)",115
"Shotgun (Automatic)",38
"Club/Blackjack/Brass Knuckles",1
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
