key,value
"Relationship Unknown",175889
"Stranger",114064
"Boyfriend/Girlfriend",88194
"Acquaintance",85974
"Otherwise Known",59481
"Spouse",27017
"Child",19810
"Offender",17151
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",16967
"Other Family Member",16624
"Parent",15102
"Neighbor",14627
"Friend",14388
"Sibling",14154
"Ex-Spouse",4996
"Common-Law Spouse",3613
"In-law",2880
"Child of Boyfriend or Girlfriend",2538
"Stepchild",2538
"Stepparent",2088
"Grandparent",1506
"Employee",1004
"Grandchild",984
"Employer",548
"Babysittee",402
"Stepsibling",374
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
"Homosexual Relationship",0
