key,value
"Relationship Unknown",132336
"Stranger",89475
"Acquaintance",70137
"Boyfriend/Girlfriend",67788
"Otherwise Known",45096
"Spouse",20472
"Child",14704
"Other Family Member",13796
"Offender",13157
"Friend",11738
"Parent",11140
"Sibling",10806
"Neighbor",10396
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",7780
"Ex-Spouse",3683
"Common-Law Spouse",2530
"In-law",2140
"Stepchild",1893
"Child of Boyfriend or Girlfriend",1781
"Stepparent",1719
"Grandparent",1117
"Grandchild",699
"Employee",646
"Employer",365
"Stepsibling",299
"Babysittee",290
"Homosexual Relationship",278
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
