key,value
"Personal Weapons",138676
"Handgun",108091
"Knife/Cutting Instrument",107917
"Other",66295
"Blunt Object",65985
"Firearm",60355
"Motor Vehicle/Vessel",29672
"Asphyxiation",20951
"None",18238
"Unknown",13177
"Rifle",6909
"Other Firearm",4925
"Shotgun",3382
"Handgun (Automatic)",2843
"Firearm (Automatic)",1564
"Fire/Incendiary Device",1223
"Drugs/Narcotics/Sleeping Pills",1093
"Poison",712
"Rifle (Automatic)",397
"Explosives",279
"Other Firearm (Automatic)",106
"Shotgun (Automatic)",53
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
