key,value
"Relationship Unknown",194770
"Stranger",146151
"Boyfriend/Girlfriend",97103
"Acquaintance",95064
"Otherwise Known",69305
"Spouse",32514
"Child",25927
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",23752
"Parent",19525
"Other Family Member",19312
"Offender",19140
"Sibling",18095
"Neighbor",16968
"Friend",16172
"Ex-Spouse",8569
"Common-Law Spouse",3747
"In-law",3592
"Stepchild",3204
"Stepparent",2540
"Child of Boyfriend or Girlfriend",2280
"Grandparent",1887
"Employee",1315
"Grandchild",1286
"Employer",642
"Stepsibling",463
"Babysittee",381
"Cohabitant (non-intimate relationship)",5
"Foster Child",0
"Foster Parent",0
"Homosexual Relationship",0
