key,value
"Personal Weapons",41922
"Knife/Cutting Instrument",34380
"Blunt Object",25972
"Handgun",19034
"Other",17003
"Motor Vehicle/Vessel",10326
"Firearm",7923
"None",4074
"Unknown",3598
"Shotgun",2215
"Handgun (Automatic)",2073
"Rifle",1473
"Other Firearm",1273
"Asphyxiation",1090
"Fire/Incendiary Device",509
"Firearm (Automatic)",445
"Drugs/Narcotics/Sleeping Pills",255
"Rifle (Automatic)",178
"Poison",176
"Explosives",94
"Shotgun (Automatic)",71
"Other Firearm (Automatic)",64
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
