key,value
"Relationship Unknown",48537
"Acquaintance",45912
"Stranger",39037
"Boyfriend/Girlfriend",26318
"Otherwise Known",24163
"Spouse",10487
"Offender",7596
"Child",7078
"Friend",7036
"Sibling",5898
"Other Family Member",5399
"Parent",5175
"Neighbor",4755
"Common-Law Spouse",1576
"Ex-Spouse",1374
"In-law",1168
"Stepchild",1048
"Child of Boyfriend or Girlfriend",978
"Homosexual Relationship",850
"Stepparent",825
"Grandparent",405
"Grandchild",379
"Employee",274
"Stepsibling",211
"Babysittee",163
"Employer",143
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",2
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
