key,value
"Relationship Unknown",50909
"Acquaintance",49245
"Stranger",41198
"Boyfriend/Girlfriend",26235
"Otherwise Known",24377
"Spouse",10957
"Offender",8035
"Child",7050
"Friend",6740
"Sibling",5748
"Other Family Member",5721
"Parent",5149
"Neighbor",4640
"Common-Law Spouse",1651
"Ex-Spouse",1291
"In-law",1159
"Stepchild",1003
"Child of Boyfriend or Girlfriend",919
"Homosexual Relationship",909
"Stepparent",842
"Grandparent",377
"Grandchild",319
"Employee",290
"Stepsibling",182
"Employer",168
"Babysittee",134
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",1
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
