key,value
"Personal Weapons",42562
"Knife/Cutting Instrument",35319
"Blunt Object",26660
"Handgun",18678
"Other",17427
"Motor Vehicle/Vessel",11018
"Firearm",7959
"None",4320
"Unknown",3997
"Shotgun",2396
"Handgun (Automatic)",1996
"Rifle",1502
"Other Firearm",1332
"Asphyxiation",865
"Fire/Incendiary Device",478
"Firearm (Automatic)",443
"Drugs/Narcotics/Sleeping Pills",263
"Poison",189
"Rifle (Automatic)",185
"Explosives",78
"Shotgun (Automatic)",55
"Other Firearm (Automatic)",49
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
