key,value
"Personal Weapons",69020
"Knife/Cutting Instrument",51771
"Handgun",44968
"Blunt Object",33146
"Other",24525
"Firearm",24149
"Motor Vehicle/Vessel",17347
"Asphyxiation",7262
"None",7145
"Unknown",6643
"Rifle",2739
"Shotgun",2249
"Other Firearm",2104
"Handgun (Automatic)",1958
"Fire/Incendiary Device",656
"Firearm (Automatic)",617
"Drugs/Narcotics/Sleeping Pills",481
"Poison",399
"Rifle (Automatic)",160
"Explosives",145
"Other Firearm (Automatic)",62
"Shotgun (Automatic)",15
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
