key,value
"Relationship Unknown",94615
"Stranger",61432
"Acquaintance",54664
"Boyfriend/Girlfriend",52444
"Otherwise Known",36672
"Spouse",16939
"Child",12253
"Other Family Member",10857
"Offender",10016
"Friend",9414
"Parent",8623
"Sibling",8472
"Neighbor",6893
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",3075
"Ex-Spouse",2622
"Common-Law Spouse",2010
"In-law",1735
"Stepchild",1609
"Child of Boyfriend or Girlfriend",1482
"Stepparent",1271
"Grandparent",913
"Homosexual Relationship",763
"Grandchild",679
"Employee",570
"Employer",347
"Babysittee",290
"Stepsibling",241
"Cohabitant (non-intimate relationship)",0
"Foster Child",0
"Foster Parent",0
